,SchoolName_x,score_by_school,perc_by_school
0,CITY ACADEMY                       ,,0.889431686031
156,CEDAR RIVERSIDE COMMUNITY SCHOOL   ,1342.57294118,0.984243004587
8136,COMMUNITY OF PEACE ACADEMY         ,1342.24511494,0.880566815909
17646,COMMUNITY OF PEACE ACADEMY SEC.    ,1475.85592593,0.905116362506
18306,MINNESOTA TRANSITIONS MIDDLE       ,1377.96416667,0.942537575347
18882,VIRTUAL HIGH SCHOOL                ,,0.201987918539
19218,MTS PEASE ACADEMY                  ,1427.49666667,0.149492512043
19621,ACHIEVE LANGUAGE ACADEMY           ,1385.76403509,0.898708285853
25861,CYBER VILLAGE ACADEMY              ,1539.53472222,0.231171195019
30791,HIGHER GROUND ACADEMY              ,1333.67006536,0.99919292999
42005,FACE TO FACE ACADEMY               ,1309.138,0.531546320915
42605,SOJOURNER TRUTH ACADEMY            ,1280.39885965,0.973511132052
49391,HIGH SCHOOL FOR RECORDING ARTS     ,1317.987,0.936118670364
49961,TWIN CITIES ACADEMY                ,1490.42607143,0.387163119939
50489,EL COLEGIO CHARTER SCHOOL          ,1312.2612,0.969871932629
51149,AURORA CHARTER SCHOOL              ,1335.51729167,0.991020885231
52479,EXCELL ACADEMY CHARTER             ,1313.00916667,0.996678641879
56319,HOPE COMMUNITY ACADEMY             ,1298.65428571,0.919485332116
61569,ACADEMIA CESAR CHAVEZ CHARTER SCH. ,1287.71425926,0.984674487675
67065,AVALON SCHOOL                      ,1639.0735,0.232227538328
67968,FRIENDSHIP ACDMY OF FINE ARTS CHTR.,1308.212,0.982164597354
70272,SAGE ACADEMY CHARTER SCHOOL        ,1464.753,0.634445113664
70767,URBAN ACADEMY CHARTER SCHOOL       ,1232.95090909,0.970904387021
71631,NEW CITY SCHOOL                    ,1488.77,0.284858137001
74031,NOVA CLASSICAL ACADEMY             ,1637.61895833,0.139428260648
76215,GREAT RIVER SCHOOL                 ,1478.56363636,0.155336758496
77052,MINNEAPOLIS ACADEMY CHARTER SCHOOL ,1379.65833333,0.849185132418
