SchoolName,SchoolNumber,DistrictNumber,AverageScore
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,1416.67
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,1343.33
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,1395.33
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,1416.67
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,1435
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,1310
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,1276.67
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,1301.33
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,1310
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,1305.63
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,1210
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,1260
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"CEDAR RIVERSIDE COMMUNITY SCHOOL   ",10,4004,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1236.36
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1285.16
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1228.75
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1245.5
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1230
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1224.21
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1244.65
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1230.23
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1251.61
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1175
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1296.5
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1185.5
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1211.32
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1234.65
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1271.28
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1270.61
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1272.5
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1269.47
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1182.63
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1269.76
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1267.56
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1246.38
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1233.33
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1243.1
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1251.67
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1090
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1230.5
"COMMUNITY OF PEACE ACADEMY         ",10,4015,1241.78
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"COMMUNITY OF PEACE ACADEMY         ",10,4015,NULL
"CYBER VILLAGE ACADEMY              ",10,4025,1479.66
"CYBER VILLAGE ACADEMY              ",10,4025,NULL
"CYBER VILLAGE ACADEMY              ",10,4025,NULL
"CYBER VILLAGE ACADEMY              ",10,4025,1495.38
"CYBER VILLAGE ACADEMY              ",10,4025,1497.22
"CYBER VILLAGE ACADEMY              ",10,4025,1450.91
"CYBER VILLAGE ACADEMY              ",10,4025,NULL
"CYBER VILLAGE ACADEMY              ",10,4025,1392.5
"CYBER VILLAGE ACADEMY              ",10,4025,1455.38
"CYBER VILLAGE ACADEMY              ",10,4025,1583.79
"CYBER VILLAGE ACADEMY              ",10,4025,NULL
"CYBER VILLAGE ACADEMY              ",10,4025,NULL
"CYBER VILLAGE ACADEMY              ",10,4025,1579.23
"CYBER VILLAGE ACADEMY              ",10,4025,1541.11
"CYBER VILLAGE ACADEMY              ",10,4025,1653.64
"CYBER VILLAGE ACADEMY              ",10,4025,NULL
