DataYear,Testname,TestDate,DistrictNumber,DistrictType,SchoolNumber,DistrictName,SchoolName,Grade,Subject,ReportOrder,ReportCategory,ReportDescription,Filtered,CountTested,CountLevel1,CountLevel2,CountLevel3,CountLevel4,CountLevel5,PercentLevel1,PercentLevel2,PercentLevel3,PercentLevel4,PercentLevel5,AverageScore,AverageScorePrompt1,AverageScorePrompt2,AverageScorePrompt3,AverageScorePrompt4,SchoolClassification,GradeEnrollment,K12Enrollment,FilterThreshold,PublicSchool,index,City,District,School
00-01,MCA,03/27/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",3,M,1,"All Categories","All Students",N,18,3,7,1,6,1,16.67,38.89,5.56,33.33,5.56,1416.67,NULL,NULL,NULL,NULL,10,16,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/27/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",3,M,3,Race/Ethnicity,"2-Asian / Pacific Islander",Y,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,16,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/27/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",3,M,5,Race/Ethnicity,4-Black,N,12,3,6,0,3,0,25,50,0,25,0,1343.33,NULL,NULL,NULL,NULL,10,16,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/27/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",3,M,6,Race/Ethnicity,5-White,Y,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,16,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/27/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",3,M,7,Gender,Male,Y,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,16,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/27/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",3,M,8,Gender,Female,N,15,3,6,1,4,1,20,40,6.67,26.67,6.67,1395.33,NULL,NULL,NULL,NULL,10,16,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/27/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",3,M,10,"Limited English Proficient","Eligible for LEP Services",Y,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,16,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/27/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",3,M,11,EconomicStatus,"Eligible for Free/Reduced Priced Meals",N,18,3,7,1,6,1,16.67,38.89,5.56,33.33,5.56,1416.67,NULL,NULL,NULL,NULL,10,16,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/27/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",3,M,12,"Student Stability","Enrolled in Same School On October 1",N,16,2,6,1,6,1,12.5,37.5,6.25,37.5,6.25,1435,NULL,NULL,NULL,NULL,10,16,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/13/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",3,R,1,"All Categories","All Students",N,18,8,5,4,1,0,44.44,27.78,22.22,5.56,0,1310,NULL,NULL,NULL,NULL,10,16,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/13/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",3,R,3,Race/Ethnicity,"2-Asian / Pacific Islander",Y,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,16,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/13/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",3,R,5,Race/Ethnicity,4-Black,N,12,7,2,3,0,0,58.33,16.67,25,0,0,1276.67,NULL,NULL,NULL,NULL,10,16,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/13/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",3,R,6,Race/Ethnicity,5-White,Y,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,16,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/13/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",3,R,7,Gender,Male,Y,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,16,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/13/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",3,R,8,Gender,Female,N,15,8,3,3,1,0,53.33,20,20,6.67,0,1301.33,NULL,NULL,NULL,NULL,10,16,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/13/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",3,R,10,"Limited English Proficient","Eligible for LEP Services",Y,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,16,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/13/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",3,R,11,EconomicStatus,"Eligible for Free/Reduced Priced Meals",N,18,8,5,4,1,0,44.44,27.78,22.22,5.56,0,1310,NULL,NULL,NULL,NULL,10,16,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/13/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",3,R,12,"Student Stability","Enrolled in Same School On October 1",N,16,7,5,3,1,0,43.75,31.25,18.75,6.25,0,1305.63,NULL,NULL,NULL,NULL,10,16,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/27/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,M,1,"All Categories","All Students",N,10,6,4,0,0,0,60,40,0,0,0,1210,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
00-01,MCA,03/27/2001,4004,7,10,"CEDAR RIVERSIDE COMMUNITY SCHOOL   ","CEDAR RIVERSIDE COMMUNITY SCHOOL   ",5,M,3,Race/Ethnicity,"2-Asian / Pacific Islander",Y,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,9,101,9,Y,92,Minneapolis,"CEDAR RIVERSIDE COMMUNITY SCHOOL","CEDAR RIVERSIDE COMMUNITY SCHOOL"
